Image name,Rotation angle,Rotation axis,Translation vector
./images/1.jpg,3.123701313931755,[-0.04013756 -0.02445763  0.99889479],[ 2.77319078  3.00961431 27.84135312]
./images/10.jpg,0.3743637571988048,[ 0.32909449 -0.94079129 -0.0812931 ],[-2.96088963 -4.02284239 27.4490002 ]
./images/11.jpg,0.3980535200804134,[-0.28480068 -0.95334822 -0.10007872],[-7.28926437 -1.64954817 28.27579156]
./images/12.jpg,3.1351737171833145,[0.01726317 0.04270418 0.9989386 ],[ 3.10474736  3.56528963 20.8044825 ]
./images/13.jpg,0.10896221729862933,[ 0.51114035 -0.85944006 -0.00991642],[-9.18617605 -3.88127604 54.9474262 ]
./images/14.jpg,0.5583392394998903,[ 0.02238873 -0.27755381  0.96044918],[-4.00546314 -5.23375369 23.02073416]
./images/15.jpg,2.563555302396167,[-0.21491242 -0.02767131  0.97624124],[ 1.73682816e+00 -1.11074639e-02  2.74603356e+01]
./images/16.jpg,0.8511017364786684,[-0.14056892 -0.48683731  0.86210778],[-3.40074143 -4.37781618 25.79984992]
./images/17.jpg,2.5903433315654447,[0.08802498 0.02990791 0.99566918],[ 5.15945492 -0.22058726 23.39418443]
./images/18.jpg,2.9947774848087274,[-0.03399503  0.41359837  0.90982456],[ 3.3462634  -0.44313088 21.06432561]
./images/19.jpg,3.138579185855435,[0.00981843 0.16495471 0.98625227],[ 4.56109317  1.89446724 18.62598755]
./images/2.jpg,0.5932867015089611,[ 0.13116312 -0.05678331  0.98973324],[-1.20269569 -4.76811839 29.13977592]
./images/20.jpg,0.6482834346856511,[-0.00753084 -0.99558543  0.09355709],[-0.11075323 -3.96261354 16.59216369]
./images/21.jpg,3.0298226066430654,[-0.20128068 -0.04215714  0.97862601],[ 7.34785694  1.44928383 27.03385087]
./images/22.jpg,3.13459017935656,[-0.00874877  0.25361237  0.96726637],[ 2.45502949  1.6190455  20.70295209]
./images/23.jpg,3.049930981892537,[-0.02838187  0.09991261  0.99459134],[ 5.52943476  0.72376727 22.01401044]
./images/24.jpg,3.067172086599621,[-0.28880864 -0.09411909  0.95274927],[ 3.34327793  1.4770391  26.50532791]
./images/25.jpg,0.4568954308465208,[-0.214495   -0.97121595 -0.10359284],[-6.45623415 -3.13997445 23.66745233]
./images/26.jpg,3.1312655897558903,[0.03210506 0.025192   0.99916697],[ 2.13274605  2.86847672 17.24421565]
./images/27.jpg,3.1347126595527497,[0.01952389 0.03175348 0.99930503],[ 1.84596978  2.30148373 22.76048699]
./images/28.jpg,3.1296644263512494,[0.0229701  0.03852129 0.99899374],[ 1.57396794  2.5843507  28.81579627]
./images/29.jpg,0.08280267457756967,[-0.99567368 -0.0789081  -0.04906568],[-7.80528388 -3.34334829 32.96189763]
./images/3.jpg,2.3690308170666476,[-0.06507313 -0.01729318  0.99773064],[ 3.01418704 -0.1541762  31.6914229 ]
./images/4.jpg,3.1037958550140408,[-0.06352718 -0.00410606  0.99797166],[ 3.60815944  3.11500671 31.92012312]
./images/5.jpg,0.8071212424670109,[ 0.07606103 -0.1065018   0.99139906],[-3.24561099 -3.70987288 33.36413432]
./images/6.jpg,1.4970370344856525,[ 0.06139299 -0.04435697  0.99712755],[-0.23820002 -3.62423928 33.2423304 ]
./images/7.jpg,2.1672627005463085,[ 0.04827826 -0.0037245   0.99882698],[ 2.27936508 -0.90850197 33.52096116]
./images/8.jpg,3.0589761735213017,[-0.05644068  0.16313412  0.98498818],[ 4.29789984  2.15868987 31.94368927]
./images/9.jpg,0.41080222649459075,[-0.98922337  0.04845354  0.13816434],[-6.23920087 -1.52536915 36.33873526]
