Frame,Normals,Offset
frame_1638,[-0.47346333  0.7599202   0.44536924],5.895234379165793
frame_2030,[0.94902101 0.13112718 0.28664401],10.003528661568353
frame_457,[-0.99121488  0.12226682  0.05043704],6.12169921371154
frame_1430,[ 0.93288206 -0.2440387   0.26490788],6.147344728187622
frame_1580,[ 0.75932657 -0.56254883  0.32705042],5.395044962723226
frame_3329,[-0.73737765  0.5739658   0.35614247],4.076334941327138
frame_1798,[-0.96334688  0.25648046  0.07861659],8.224593310313157
frame_2725,[-0.9493562  -0.22833398  0.21583881],8.556326324741226
frame_548,[-0.825289    0.10756967  0.55437067],6.648314723284451
frame_812,[-0.73370584  0.67940958 -0.00885226],7.242380621121471
frame_1195,[0.94151039 0.18949708 0.27865578],6.832952600657192
frame_2717,[-0.95936444  0.00899235  0.2820266 ],9.218809654010846
frame_2771,[ 0.43460444 -0.89601842  0.09093933],8.370552695308355
frame_2107,[-0.98745566 -0.06712949  0.14291586],10.404421516106346
frame_690,[ 0.99427448 -0.1042191   0.02359328],8.947231652798521
frame_1473,[ 0.95207118 -0.1539658   0.26430097],6.087895262110128
frame_1366,[-0.81878735 -0.50763718  0.26812639],7.041964512538888
frame_595,[-0.93223066  0.19842704  0.30260984],6.396528411792234
frame_607,[-0.98936009  0.13850217  0.04453952],7.3648202148132595
frame_1139,[-0.72352642  0.68812782  0.05467752],5.611819395426764
frame_2800,[-0.76477664  0.64422625  0.00944619],7.046424036881552
frame_2962,[ 0.97607976 -0.21597961  0.02492227],4.793244271668247
frame_256,[-0.90149712 -0.39908052  0.16744454],8.298114208522437
frame_1725,[ 0.40409023 -0.88184713  0.24301591],6.487995538388741
frame_1153,[ 0.83333533 -0.55208241  0.02751785],6.232881099521765
frame_1075,[ 0.70169742 -0.70118932  0.1263102 ],5.354722959622335
frame_1698,[-0.52528321  0.84450165  0.1043768 ],6.4774096818132465
frame_639,[-0.96691202  0.15794554  0.2003356 ],8.539208103895612
frame_795,[ 0.662242   -0.74563698  0.07389876],8.506828299123892
frame_1850,[-0.9065703   0.30866042  0.28785247],8.236144578859971
frame_1061,[ 0.63693437 -0.76499839  0.09535237],5.293429823935344
frame_1558,[ 0.60407281 -0.77412903  0.18926246],5.47049621935553
frame_1816,[ 0.87718352 -0.41582556  0.24007951],7.989623889950406
frame_2991,[ 0.60371533 -0.79239849  0.08736381],5.107784512961663
frame_2822,[ 0.61872738 -0.78293781  0.06469016],6.903337430927148
frame_1163,[ 0.91935323 -0.3607026   0.15710911],6.625233594589648
frame_1093,[ 0.93809241 -0.22958973  0.25936688],5.576877168084774
frame_339,[-0.89093965 -0.24536379  0.38212975],7.954033730323293
